"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started",,,
"Hailuoto Kujalannurkka",104109,,,65,24.7,4,"air quality (FMI)",1995,,,
"Hämeenlinna Kotinen",101188,1437,,61.2,25.1,158,"air quality (FMI)",1987,,,
"Kuopio Puijo",101587,3618,,62.9,27.7,230,"air quality (FMI)",2010,,,
"Lieksa Hietajärvi",101650,3918,,63.2,30.7,173,"air quality (FMI)",1987,,,
"Sodankylä Heikinheimo-masto",101942,7511,2742,67.4,26.6,179,"air quality (FMI)",2000,,,
"Virolahti Harju",108036,,,60.5,27.6,20,"air quality (FMI)",2023,,,
"Espoo Leppävaara Läkkisepänkuja",100691,,,60.2,24.8,9,"air quality (urban)",2010,,,
"Espoo Lintuvaara 2",104084,,,60.2,24.8,,"air quality (urban)",2015,,,
"Espoo Luukki",100723,,,60.3,24.7,64,"air quality (urban)",1987,,,
"Espoo Länsiväylä Friisilä",106949,,,60.2,24.7,5,"air quality (urban)",2019,,,
"Espoo Pohjois-Tapiola 2",107399,,,60.2,24.8,8,"air quality (urban)",2022,,,
"Harjavalta Kaleva",103142,,,61.3,22.1,,"air quality (urban)",1978,,,
"Harjavalta Pirkkala",103143,,,61.3,22.1,40,"air quality (urban)",1990,,,
"Heinola Tiilitehtaankatu",105416,,,61.2,26,70,"air quality (urban)",2018,,,
"Heinola Tommola",107392,,,61.2,26,93,"air quality (urban)",2021,,,
"Heinola Vierumäki",107393,,,61.1,25.9,140,"air quality (urban)",2021,,,
"Helsinki Kallio 2",100662,,,60.2,25,21,"air quality (urban)",1999,,,
"Helsinki Katajanokka 2",104053,,,60.2,25,,"air quality (urban)",2009,,,
"Helsinki Kustaa Vaasan tie",108158,,,60.2,25,13,"air quality (urban)",2025,,,
"Helsinki Mannerheimintie",100742,,,60.2,24.9,5,"air quality (urban)",2005,,,
"Helsinki Mäkelänkatu",100762,,,60.2,25,25,"air quality (urban)",2015,,,
"Helsinki Paloheinä",107165,,,60.3,24.9,26,"air quality (urban)",2019,,,
"Helsinki Tapanila",104074,,,60.3,25,26,"air quality (urban)",2012,,,
"Helsinki Tapanila 2",108069,,,60.3,25,28,"air quality (urban)",2024,,,
"Helsinki Teollisuuskatu",108068,,,60.2,24.9,18,"air quality (urban)",2024,,,
